Player,Overall Score,Height,Weight,Age,Preferred Foot,Preferred Positions,Ball Control,Dribbling,Marking,Slide Tackle,Stand Tackle,Aggression,Reactions,Attack Position,Interceptions,Vision,Composure,Crossing,Short Pass,Long Pass,Acceleration,Stamina,Strength,Balance,Sprint Speed,Agility,Jumping,Heading,Shot Power,Finishing,Long Shots,Curve,Free Kick Acc,Penalties,Volleys
Enis Bardhi,78,172,64,26,0,2,80.0,81.0,57.0,59.0,61.0,62.0,78.0,72.0,62.0,78.0,82.0,77.0,77.0,74.0,79.0,75.0,45.0,86.0,71.0,85.0,48.0,52.0,85.0,78.0,82.0,89.0,90.0,80.0,79.0
Antonín Barák,78,190,86,27,1,2,82.0,81.0,59.0,60.0,64.0,58.0,75.0,78.0,62.0,79.0,78.0,73.0,82.0,76.0,68.0,85.0,73.0,59.0,64.0,70.0,55.0,68.0,81.0,74.0,78.0,70.0,66.0,66.0,64.0
Marcos Senesi,78,183,78,24,1,1,74.0,70.0,82.0,78.0,81.0,74.0,75.0,32.0,80.0,65.0,77.0,53.0,75.0,73.0,67.0,71.0,81.0,61.0,56.0,62.0,81.0,77.0,55.0,32.0,43.0,31.0,22.0,40.0,25.0
Evan Ndicka,78,192,80,22,1,1,79.0,77.0,78.0,75.0,79.0,75.0,77.0,67.0,77.0,73.0,80.0,68.0,77.0,75.0,69.0,75.0,79.0,55.0,79.0,55.0,80.0,79.0,65.0,38.0,54.0,59.0,30.0,33.0,31.0
Cengiz Ünder,78,173,66,24,1,3,81.0,82.0,43.0,30.0,33.0,37.0,74.0,75.0,29.0,74.0,68.0,81.0,74.0,65.0,84.0,67.0,50.0,82.0,78.0,84.0,47.0,63.0,83.0,76.0,80.0,83.0,68.0,72.0,70.0
Domingos Duarte,78,190,78,26,0,1,64.0,48.0,78.0,80.0,81.0,82.0,79.0,40.0,80.0,44.0,64.0,54.0,78.0,56.0,54.0,74.0,81.0,43.0,55.0,36.0,60.0,80.0,50.0,30.0,31.0,27.0,27.0,45.0,27.0
Jonathan Ikoné,78,175,73,23,1,3,79.0,83.0,32.0,36.0,36.0,65.0,75.0,75.0,34.0,78.0,78.0,73.0,74.0,65.0,89.0,72.0,55.0,82.0,89.0,92.0,33.0,39.0,75.0,70.0,68.0,78.0,72.0,70.0,59.0
Marcão,78,185,81,25,1,1,73.0,69.0,79.0,75.0,78.0,88.0,78.0,25.0,79.0,58.0,77.0,35.0,76.0,74.0,65.0,92.0,83.0,62.0,64.0,63.0,86.0,68.0,52.0,23.0,29.0,56.0,34.0,56.0,34.0
Al Hafith Herrera,78,184,77,23,0,2,79.0,76.0,75.0,77.0,78.0,80.0,75.0,70.0,77.0,74.0,69.0,57.0,79.0,78.0,66.0,78.0,77.0,68.0,65.0,65.0,76.0,72.0,78.0,70.0,70.0,60.0,51.0,59.0,54.0
Odriozola,78,176,66,26,0,1,76.0,76.0,73.0,77.0,76.0,62.0,74.0,69.0,73.0,63.0,67.0,80.0,75.0,70.0,79.0,78.0,59.0,78.0,85.0,75.0,71.0,73.0,61.0,48.0,59.0,71.0,30.0,62.0,48.0
Luis Sinisterra,78,172,60,22,0,3,81.0,86.0,56.0,47.0,48.0,56.0,73.0,72.0,50.0,76.0,74.0,67.0,78.0,69.0,92.0,77.0,58.0,87.0,87.0,94.0,89.0,69.0,71.0,73.0,59.0,64.0,42.0,55.0,74.0
Wataru Endo,78,178,76,28,0,2,80.0,75.0,80.0,73.0,78.0,78.0,73.0,54.0,78.0,75.0,81.0,55.0,79.0,77.0,73.0,80.0,65.0,76.0,60.0,71.0,91.0,77.0,71.0,57.0,68.0,43.0,46.0,62.0,26.0
Caio Henrique,78,179,70,24,1,2,79.0,78.0,73.0,74.0,76.0,63.0,78.0,72.0,74.0,73.0,79.0,79.0,78.0,70.0,75.0,80.0,52.0,75.0,74.0,75.0,70.0,62.0,60.0,50.0,58.0,74.0,70.0,48.0,43.0
Brahim,78,171,59,22,0,2,83.0,82.0,40.0,21.0,23.0,41.0,72.0,73.0,30.0,78.0,72.0,66.0,83.0,74.0,82.0,67.0,44.0,91.0,74.0,89.0,66.0,30.0,70.0,69.0,71.0,74.0,61.0,58.0,55.0
Gonzalo Montiel,78,175,70,24,0,1,75.0,71.0,73.0,73.0,73.0,87.0,75.0,77.0,73.0,70.0,75.0,72.0,76.0,66.0,87.0,93.0,73.0,71.0,85.0,82.0,80.0,71.0,65.0,41.0,59.0,59.0,39.0,75.0,41.0
Prazeracinho,78,172,70,21,1,3,77.0,82.0,50.0,30.0,38.0,58.0,78.0,77.0,53.0,75.0,69.0,82.0,79.0,75.0,81.0,58.0,49.0,78.0,75.0,79.0,69.0,49.0,60.0,74.0,70.0,69.0,64.0,46.0,65.0
Matheus Bardeira,78,187,85,21,0,3,70.0,69.0,38.0,17.0,19.0,62.0,68.0,74.0,16.0,65.0,80.0,59.0,66.0,64.0,77.0,74.0,79.0,67.0,70.0,70.0,89.0,91.0,87.0,86.0,80.0,59.0,33.0,56.0,70.0
Fredditinho,78,188,87,33,0,3,74.0,72.0,26.0,24.0,39.0,55.0,74.0,78.0,45.0,65.0,72.0,50.0,69.0,68.0,74.0,65.0,90.0,80.0,73.0,82.0,83.0,81.0,78.0,83.0,77.0,52.0,65.0,83.0,74.0
Arturo Inálcio,78,170,60,21,0,2,80.0,78.0,24.0,62.0,66.0,45.0,69.0,74.0,71.0,77.0,60.0,63.0,85.0,83.0,80.0,74.0,35.0,74.0,86.0,90.0,55.0,46.0,80.0,70.0,75.0,54.0,48.0,45.0,68.0
Guilson Paiva,78,173,72,25,0,3,77.0,81.0,36.0,48.0,49.0,63.0,77.0,73.0,40.0,75.0,62.0,75.0,78.0,72.0,90.0,69.0,72.0,77.0,78.0,73.0,50.0,34.0,77.0,69.0,68.0,67.0,72.0,44.0,61.0
Albertinho Dutra,78,175,72,29,1,2,79.0,80.0,28.0,24.0,20.0,26.0,65.0,73.0,21.0,69.0,71.0,86.0,85.0,84.0,82.0,75.0,46.0,86.0,80.0,88.0,57.0,20.0,68.0,73.0,72.0,72.0,81.0,76.0,64.0
Everticinho,78,176,75,21,0,2,75.0,76.0,78.0,77.0,75.0,73.0,80.0,76.0,72.0,64.0,80.0,76.0,76.0,59.0,84.0,88.0,67.0,72.0,73.0,77.0,68.0,60.0,72.0,69.0,74.0,76.0,68.0,64.0,71.0
Vincente Dourado,78,190,88,25,0,1,69.0,51.0,73.0,75.0,81.0,80.0,74.0,37.0,77.0,59.0,66.0,65.0,71.0,72.0,54.0,71.0,93.0,51.0,62.0,51.0,72.0,78.0,45.0,21.0,26.0,27.0,32.0,34.0,26.0
Antônio Chiamuloira,78,182,79,21,1,1,62.0,44.0,81.0,81.0,78.0,88.0,79.0,24.0,77.0,47.0,70.0,55.0,68.0,72.0,67.0,63.0,74.0,59.0,69.0,49.0,88.0,76.0,43.0,51.0,51.0,54.0,50.0,66.0,44.0
Wellington Sabrão,78,169,66,33,0,1,71.0,75.0,72.0,72.0,75.0,60.0,77.0,60.0,73.0,60.0,71.0,76.0,73.0,67.0,94.0,78.0,69.0,72.0,90.0,74.0,69.0,60.0,64.0,50.0,60.0,60.0,50.0,50.0,56.0
Gerson Armão,78,186,73,21,1,2,72.0,71.0,74.0,75.0,77.0,94.0,72.0,57.0,67.0,56.0,77.0,76.0,77.0,67.0,77.0,89.0,67.0,58.0,80.0,68.0,78.0,77.0,84.0,54.0,77.0,81.0,77.0,77.0,71.0
Gerson,78,184,72,24,1,2,78.0,74.0,76.0,77.0,80.0,81.0,84.0,74.0,81.0,77.0,78.0,73.0,82.0,77.0,73.0,77.0,76.0,81.0,74.0,79.0,68.0,54.0,69.0,61.0,65.0,79.0,60.0,67.0,56.0
Kasper Dolberg,78,187,84,24,0,3,79.0,78.0,28.0,19.0,24.0,32.0,75.0,79.0,23.0,77.0,76.0,50.0,77.0,60.0,69.0,73.0,79.0,64.0,76.0,72.0,73.0,74.0,86.0,79.0,79.0,76.0,70.0,78.0,78.0
Florian Grillitsch,78,187,77,26,0,2,81.0,78.0,75.0,63.0,74.0,50.0,81.0,70.0,80.0,81.0,81.0,68.0,84.0,82.0,61.0,70.0,72.0,65.0,75.0,68.0,48.0,61.0,65.0,58.0,60.0,47.0,68.0,50.0,53.0
Nuno Santos,78,177,72,26,1,3,80.0,81.0,44.0,26.0,33.0,74.0,79.0,76.0,59.0,74.0,75.0,79.0,74.0,71.0,83.0,77.0,60.0,72.0,79.0,81.0,57.0,57.0,86.0,70.0,76.0,77.0,72.0,71.0,84.0
Ezri Konsa,78,183,77,24,0,1,73.0,70.0,81.0,78.0,77.0,75.0,80.0,50.0,78.0,58.0,77.0,51.0,74.0,72.0,73.0,71.0,77.0,71.0,82.0,64.0,78.0,78.0,58.0,34.0,32.0,37.0,38.0,38.0,35.0
Rodrigo Bentancur,78,187,78,24,0,2,82.0,80.0,78.0,74.0,79.0,78.0,78.0,64.0,78.0,76.0,80.0,73.0,83.0,79.0,69.0,86.0,72.0,68.0,77.0,70.0,73.0,62.0,69.0,55.0,65.0,71.0,68.0,64.0,71.0
André-Franck Hyun Gyu,78,184,78,26,0,2,80.0,83.0,79.0,71.0,82.0,84.0,82.0,74.0,81.0,74.0,82.0,64.0,78.0,74.0,78.0,81.0,85.0,78.0,78.0,77.0,76.0,73.0,77.0,62.0,69.0,62.0,46.0,62.0,50.0
Matty Cash,78,179,74,24,0,1,70.0,73.0,74.0,76.0,75.0,63.0,76.0,61.0,76.0,67.0,72.0,78.0,70.0,62.0,79.0,87.0,56.0,67.0,83.0,86.0,80.0,49.0,64.0,66.0,64.0,64.0,48.0,44.0,48.0
Gelson Martins,78,173,74,26,0,2,78.0,85.0,54.0,48.0,51.0,60.0,74.0,71.0,50.0,73.0,76.0,71.0,73.0,55.0,93.0,88.0,48.0,85.0,91.0,91.0,67.0,51.0,77.0,69.0,69.0,81.0,60.0,66.0,74.0
Angelo Fulgini,78,183,71,25,0,2,81.0,85.0,65.0,69.0,72.0,67.0,75.0,78.0,66.0,79.0,73.0,71.0,78.0,71.0,73.0,80.0,72.0,65.0,76.0,74.0,70.0,67.0,70.0,75.0,68.0,67.0,66.0,53.0,52.0
Daniel Podence,78,165,58,26,0,3,82.0,86.0,42.0,29.0,30.0,67.0,77.0,76.0,21.0,78.0,78.0,67.0,75.0,70.0,94.0,75.0,30.0,93.0,84.0,92.0,65.0,42.0,66.0,67.0,57.0,75.0,42.0,63.0,57.0
Kelechi Iheanacho,78,185,82,25,1,3,78.0,79.0,39.0,32.0,36.0,71.0,77.0,80.0,30.0,71.0,68.0,59.0,77.0,69.0,75.0,71.0,73.0,72.0,74.0,73.0,57.0,67.0,81.0,82.0,78.0,74.0,64.0,70.0,77.0
Abdou Diallo,78,187,79,25,1,1,77.0,75.0,76.0,81.0,78.0,77.0,76.0,61.0,77.0,69.0,81.0,68.0,78.0,76.0,72.0,74.0,77.0,71.0,76.0,73.0,84.0,78.0,51.0,38.0,24.0,58.0,32.0,41.0,39.0
Guido Rodríguez,78,185,80,26,0,2,75.0,63.0,82.0,77.0,81.0,83.0,75.0,56.0,82.0,65.0,70.0,59.0,75.0,72.0,53.0,77.0,79.0,50.0,54.0,49.0,42.0,73.0,77.0,43.0,69.0,49.0,42.0,53.0,47.0
Duje Ćaleta-Car,78,192,89,25,0,1,67.0,59.0,80.0,78.0,78.0,78.0,76.0,54.0,79.0,64.0,81.0,28.0,78.0,78.0,55.0,77.0,86.0,58.0,60.0,46.0,83.0,77.0,67.0,32.0,27.0,28.0,31.0,38.0,32.0
Ellyes Skhiri,78,185,73,26,0,2,76.0,74.0,80.0,72.0,75.0,72.0,73.0,65.0,85.0,65.0,75.0,67.0,77.0,71.0,65.0,91.0,65.0,64.0,55.0,74.0,75.0,73.0,75.0,73.0,72.0,72.0,55.0,58.0,60.0
Joffré Saúl Basilio,78,180,78,24,0,1,76.0,71.0,73.0,75.0,77.0,75.0,74.0,73.0,76.0,69.0,70.0,75.0,76.0,68.0,77.0,87.0,77.0,67.0,80.0,67.0,68.0,65.0,63.0,55.0,61.0,72.0,39.0,46.0,55.0
Jarrod Bowen,78,175,70,25,1,3,78.0,80.0,49.0,36.0,40.0,56.0,77.0,79.0,37.0,74.0,72.0,76.0,73.0,67.0,78.0,78.0,62.0,82.0,75.0,79.0,63.0,64.0,71.0,78.0,76.0,71.0,70.0,70.0,56.0
Karl Toko Ekambi,78,185,74,29,0,3,76.0,77.0,23.0,18.0,14.0,48.0,79.0,81.0,21.0,74.0,78.0,73.0,74.0,64.0,83.0,76.0,74.0,73.0,87.0,78.0,71.0,74.0,81.0,79.0,73.0,73.0,63.0,74.0,75.0
Valentin Rongier,78,172,70,27,0,2,80.0,75.0,77.0,71.0,80.0,80.0,77.0,70.0,81.0,74.0,75.0,67.0,81.0,80.0,73.0,82.0,77.0,89.0,72.0,77.0,73.0,40.0,75.0,63.0,68.0,74.0,69.0,65.0,66.0
Ruben Aguilar,78,172,71,28,0,2,75.0,76.0,74.0,76.0,76.0,83.0,76.0,70.0,74.0,69.0,72.0,77.0,76.0,70.0,79.0,92.0,66.0,78.0,73.0,80.0,81.0,60.0,70.0,49.0,45.0,62.0,33.0,38.0,52.0
Mata,78,185,79,33,0,3,79.0,77.0,29.0,29.0,28.0,83.0,82.0,83.0,19.0,66.0,76.0,63.0,67.0,51.0,65.0,70.0,77.0,39.0,70.0,64.0,72.0,75.0,81.0,80.0,71.0,55.0,48.0,76.0,73.0
Fraulo Mena,78,168,71,33,1,3,80.0,82.0,38.0,41.0,46.0,27.0,77.0,78.0,43.0,69.0,75.0,75.0,75.0,71.0,81.0,75.0,47.0,85.0,81.0,88.0,33.0,69.0,69.0,78.0,72.0,64.0,67.0,72.0,71.0
Marvin Friedrich,78,192,81,26,0,1,61.0,43.0,79.0,79.0,85.0,74.0,76.0,32.0,78.0,59.0,68.0,43.0,67.0,68.0,54.0,67.0,81.0,52.0,73.0,54.0,74.0,79.0,58.0,39.0,35.0,39.0,26.0,38.0,35.0
Ollie Watkins,78,180,70,25,0,3,76.0,75.0,40.0,36.0,46.0,34.0,77.0,79.0,44.0,74.0,66.0,67.0,70.0,59.0,79.0,88.0,76.0,73.0,89.0,79.0,92.0,81.0,75.0,80.0,71.0,63.0,56.0,60.0,64.0
Rafael Santos Borré,78,174,70,26,0,3,77.0,77.0,44.0,29.0,43.0,87.0,79.0,84.0,39.0,75.0,81.0,69.0,74.0,69.0,83.0,85.0,67.0,81.0,79.0,84.0,83.0,74.0,80.0,78.0,70.0,79.0,67.0,71.0,72.0
Saïd Benrahma,78,172,67,26,0,2,81.0,82.0,45.0,23.0,32.0,52.0,75.0,76.0,40.0,78.0,74.0,74.0,77.0,68.0,79.0,69.0,49.0,78.0,76.0,85.0,56.0,47.0,75.0,72.0,74.0,73.0,69.0,69.0,64.0
Matias Vecino,78,187,81,30,0,2,81.0,77.0,77.0,69.0,77.0,72.0,77.0,76.0,77.0,80.0,81.0,69.0,80.0,77.0,65.0,77.0,72.0,65.0,65.0,69.0,75.0,79.0,78.0,68.0,75.0,64.0,58.0,56.0,62.0
Tiemoué Bakayoko,78,189,85,27,0,2,76.0,76.0,72.0,79.0,81.0,85.0,75.0,59.0,79.0,70.0,76.0,55.0,76.0,72.0,63.0,78.0,87.0,56.0,65.0,60.0,75.0,71.0,72.0,37.0,50.0,51.0,37.0,45.0,36.0
Samuel Gigot,78,187,83,28,0,1,65.0,55.0,79.0,77.0,79.0,79.0,77.0,51.0,78.0,55.0,70.0,68.0,73.0,74.0,63.0,71.0,83.0,57.0,70.0,61.0,80.0,82.0,44.0,35.0,33.0,34.0,33.0,56.0,30.0
Guillermo Maripán,78,193,83,27,0,1,61.0,45.0,79.0,75.0,80.0,80.0,78.0,46.0,79.0,56.0,73.0,41.0,71.0,72.0,34.0,59.0,91.0,32.0,34.0,31.0,68.0,80.0,58.0,39.0,35.0,29.0,27.0,30.0,31.0
Sequeira,78,184,79,31,1,1,74.0,73.0,76.0,76.0,78.0,79.0,75.0,57.0,77.0,44.0,68.0,80.0,72.0,75.0,67.0,85.0,77.0,64.0,72.0,64.0,74.0,76.0,76.0,49.0,67.0,78.0,68.0,64.0,46.0
Léo Dubois,78,178,65,27,0,1,75.0,74.0,76.0,78.0,78.0,70.0,78.0,72.0,78.0,71.0,78.0,78.0,78.0,74.0,70.0,77.0,72.0,66.0,74.0,67.0,73.0,60.0,72.0,53.0,55.0,76.0,56.0,46.0,73.0
Dani García,78,180,81,31,0,2,80.0,68.0,78.0,78.0,84.0,82.0,79.0,73.0,81.0,71.0,71.0,55.0,79.0,80.0,45.0,91.0,79.0,75.0,40.0,66.0,65.0,46.0,72.0,60.0,73.0,61.0,57.0,58.0,52.0
Armando Izzo,78,183,81,29,0,1,66.0,63.0,82.0,79.0,81.0,78.0,79.0,16.0,82.0,33.0,70.0,35.0,66.0,60.0,66.0,75.0,76.0,66.0,72.0,64.0,76.0,76.0,56.0,19.0,44.0,26.0,26.0,37.0,32.0
Lucas Alario,78,184,78,29,0,3,78.0,73.0,22.0,20.0,27.0,72.0,77.0,84.0,22.0,65.0,76.0,48.0,69.0,47.0,66.0,68.0,78.0,71.0,60.0,68.0,87.0,85.0,79.0,83.0,63.0,49.0,43.0,76.0,80.0
Carlos Izquierdoz,78,185,85,33,0,1,63.0,48.0,80.0,76.0,78.0,78.0,74.0,32.0,80.0,33.0,64.0,44.0,73.0,64.0,50.0,81.0,87.0,48.0,51.0,35.0,88.0,82.0,66.0,45.0,52.0,32.0,41.0,71.0,50.0
Alexey Miranchuk,78,182,74,26,1,3,80.0,80.0,22.0,29.0,28.0,43.0,76.0,78.0,36.0,79.0,76.0,72.0,78.0,75.0,74.0,73.0,64.0,78.0,76.0,80.0,58.0,57.0,65.0,71.0,73.0,74.0,75.0,67.0,67.0
Adama Traoré,78,178,72,25,0,3,83.0,92.0,37.0,35.0,38.0,70.0,66.0,64.0,41.0,65.0,71.0,78.0,71.0,54.0,97.0,77.0,87.0,88.0,96.0,85.0,80.0,40.0,79.0,64.0,63.0,67.0,42.0,47.0,52.0
Puertas,78,183,77,29,0,2,78.0,78.0,44.0,31.0,39.0,71.0,75.0,84.0,41.0,73.0,77.0,78.0,75.0,69.0,77.0,76.0,76.0,72.0,78.0,77.0,76.0,75.0,81.0,78.0,71.0,62.0,45.0,65.0,65.0
Diego Llorente,78,186,76,28,0,1,77.0,57.0,73.0,76.0,76.0,86.0,75.0,43.0,83.0,54.0,73.0,55.0,75.0,72.0,69.0,73.0,80.0,62.0,72.0,66.0,82.0,79.0,45.0,39.0,37.0,30.0,35.0,53.0,31.0
Tyrone Mings,78,196,77,28,1,1,67.0,68.0,79.0,77.0,78.0,86.0,79.0,53.0,78.0,57.0,71.0,70.0,73.0,75.0,62.0,72.0,84.0,46.0,81.0,55.0,71.0,77.0,61.0,37.0,42.0,53.0,37.0,45.0,34.0
Ricardo Esgaio,78,173,65,28,0,2,80.0,77.0,66.0,75.0,76.0,68.0,75.0,77.0,69.0,75.0,81.0,78.0,78.0,68.0,75.0,88.0,59.0,82.0,74.0,77.0,75.0,56.0,69.0,65.0,64.0,79.0,51.0,78.0,60.0
Moussa Dembélé,78,183,79,25,0,3,74.0,73.0,39.0,16.0,14.0,75.0,78.0,82.0,22.0,69.0,76.0,50.0,72.0,48.0,75.0,77.0,85.0,66.0,81.0,72.0,86.0,81.0,82.0,80.0,66.0,69.0,58.0,76.0,74.0
John McGinn,78,178,68,27,1,2,78.0,80.0,69.0,69.0,75.0,79.0,76.0,72.0,73.0,76.0,68.0,64.0,80.0,83.0,73.0,90.0,75.0,80.0,67.0,77.0,75.0,59.0,83.0,71.0,73.0,66.0,61.0,55.0,71.0
Emerson,78,176,79,27,1,1,80.0,79.0,77.0,76.0,77.0,69.0,76.0,72.0,78.0,64.0,77.0,78.0,77.0,66.0,83.0,70.0,57.0,76.0,78.0,75.0,67.0,60.0,80.0,51.0,77.0,81.0,80.0,55.0,51.0
Marcel Halstenberg,78,188,87,30,1,1,75.0,71.0,76.0,73.0,78.0,77.0,77.0,63.0,73.0,65.0,74.0,80.0,77.0,62.0,64.0,82.0,79.0,59.0,62.0,61.0,85.0,80.0,79.0,59.0,69.0,77.0,75.0,73.0,60.0
Renato Steffen,78,170,65,30,1,2,78.0,79.0,54.0,52.0,39.0,67.0,78.0,75.0,38.0,73.0,75.0,76.0,77.0,67.0,84.0,76.0,57.0,91.0,74.0,90.0,90.0,70.0,77.0,75.0,75.0,79.0,72.0,55.0,77.0
Rachid Ghezzal,78,182,70,29,1,3,82.0,81.0,25.0,23.0,24.0,48.0,71.0,74.0,27.0,80.0,75.0,84.0,80.0,81.0,72.0,67.0,51.0,73.0,71.0,80.0,58.0,56.0,72.0,69.0,74.0,83.0,74.0,72.0,62.0
Nathan Aké,78,180,75,26,1,1,74.0,67.0,78.0,79.0,81.0,72.0,76.0,51.0,80.0,66.0,76.0,63.0,77.0,72.0,80.0,74.0,76.0,68.0,72.0,72.0,89.0,76.0,63.0,48.0,56.0,62.0,59.0,53.0,52.0
Clinton Mata,78,180,73,29,0,1,74.0,74.0,76.0,76.0,77.0,78.0,76.0,67.0,76.0,63.0,78.0,62.0,73.0,69.0,79.0,93.0,74.0,70.0,85.0,87.0,86.0,71.0,78.0,53.0,67.0,71.0,70.0,49.0,46.0
Jonas Hector,78,185,75,31,1,1,77.0,74.0,77.0,77.0,78.0,74.0,80.0,61.0,76.0,74.0,81.0,78.0,76.0,75.0,67.0,78.0,74.0,68.0,53.0,68.0,80.0,67.0,69.0,55.0,61.0,65.0,65.0,65.0,51.0
Josef Martínez,78,170,69,28,0,3,76.0,74.0,20.0,15.0,20.0,66.0,77.0,83.0,20.0,58.0,75.0,53.0,67.0,55.0,85.0,57.0,69.0,89.0,89.0,90.0,91.0,75.0,84.0,82.0,66.0,68.0,57.0,79.0,73.0
Imrân Poulsen,78,192,84,27,0,3,75.0,77.0,53.0,32.0,59.0,83.0,81.0,81.0,54.0,71.0,72.0,68.0,73.0,53.0,80.0,86.0,78.0,54.0,84.0,69.0,83.0,85.0,73.0,76.0,58.0,70.0,42.0,58.0,75.0
Leandro Trossard,78,172,67,27,0,2,78.0,81.0,30.0,18.0,31.0,47.0,72.0,76.0,18.0,74.0,82.0,76.0,77.0,74.0,89.0,74.0,60.0,85.0,76.0,92.0,78.0,65.0,78.0,76.0,79.0,82.0,69.0,75.0,74.0
Roberto Torres,78,178,72,32,0,2,79.0,76.0,63.0,65.0,69.0,72.0,80.0,78.0,69.0,80.0,78.0,80.0,77.0,78.0,73.0,78.0,69.0,68.0,62.0,67.0,63.0,52.0,82.0,78.0,79.0,79.0,84.0,77.0,63.0
Moi Gómez,78,176,73,27,0,2,80.0,79.0,65.0,41.0,52.0,52.0,74.0,76.0,54.0,77.0,75.0,78.0,80.0,76.0,69.0,78.0,56.0,73.0,67.0,76.0,64.0,54.0,74.0,75.0,75.0,82.0,59.0,59.0,65.0
Patrick Bamford,78,185,71,28,1,3,78.0,70.0,50.0,20.0,27.0,65.0,80.0,83.0,47.0,71.0,74.0,59.0,72.0,63.0,74.0,91.0,76.0,66.0,79.0,69.0,68.0,75.0,80.0,82.0,69.0,68.0,59.0,74.0,69.0
Ben Davies,78,181,76,28,1,1,76.0,74.0,78.0,78.0,79.0,71.0,78.0,60.0,79.0,71.0,76.0,74.0,78.0,75.0,68.0,78.0,69.0,72.0,69.0,67.0,74.0,64.0,65.0,58.0,52.0,72.0,48.0,54.0,48.0
Denis Suárez,78,178,66,27,0,2,80.0,81.0,69.0,49.0,58.0,47.0,81.0,78.0,65.0,85.0,75.0,75.0,84.0,79.0,74.0,65.0,55.0,75.0,74.0,81.0,58.0,49.0,74.0,70.0,72.0,82.0,70.0,63.0,68.0
Mário Rui,78,170,67,30,1,1,79.0,77.0,70.0,73.0,74.0,73.0,73.0,59.0,71.0,66.0,71.0,78.0,75.0,70.0,84.0,81.0,50.0,86.0,77.0,88.0,90.0,60.0,69.0,27.0,73.0,74.0,66.0,60.0,53.0
Luís Neto,78,185,72,33,0,1,60.0,49.0,78.0,79.0,80.0,81.0,75.0,44.0,84.0,46.0,75.0,42.0,68.0,63.0,58.0,66.0,73.0,59.0,70.0,67.0,83.0,78.0,42.0,33.0,37.0,52.0,43.0,47.0,40.0
John Brooks,78,193,78,28,1,1,64.0,64.0,77.0,76.0,82.0,74.0,75.0,40.0,76.0,59.0,81.0,36.0,74.0,74.0,53.0,61.0,84.0,51.0,64.0,55.0,74.0,84.0,50.0,39.0,29.0,30.0,28.0,45.0,32.0
Pozuelo,78,170,63,30,0,3,81.0,80.0,53.0,36.0,52.0,59.0,78.0,77.0,55.0,84.0,82.0,74.0,81.0,75.0,69.0,78.0,60.0,85.0,61.0,77.0,61.0,54.0,75.0,70.0,76.0,78.0,74.0,77.0,68.0
Damián Suárez,78,173,68,33,0,2,76.0,74.0,76.0,78.0,77.0,89.0,74.0,63.0,77.0,62.0,74.0,80.0,75.0,72.0,72.0,78.0,71.0,72.0,73.0,71.0,79.0,70.0,83.0,64.0,71.0,74.0,70.0,67.0,59.0
Héctor Bellerín Moruno,78,178,74,26,0,1,77.0,77.0,74.0,76.0,74.0,72.0,76.0,67.0,76.0,66.0,70.0,74.0,76.0,59.0,82.0,75.0,58.0,77.0,84.0,78.0,64.0,60.0,52.0,52.0,43.0,63.0,50.0,62.0,41.0
Pavel Kadeřábek,78,182,81,29,0,2,77.0,71.0,72.0,78.0,71.0,78.0,81.0,72.0,70.0,72.0,76.0,83.0,74.0,68.0,78.0,83.0,77.0,67.0,70.0,66.0,81.0,76.0,66.0,28.0,41.0,57.0,52.0,54.0,57.0
André Carrillo,78,182,78,30,0,2,81.0,84.0,32.0,25.0,36.0,53.0,71.0,76.0,38.0,73.0,76.0,76.0,74.0,69.0,83.0,72.0,75.0,62.0,86.0,81.0,73.0,70.0,77.0,73.0,74.0,78.0,55.0,68.0,78.0
Willy Boly,78,195,97,30,0,1,69.0,61.0,77.0,76.0,81.0,77.0,73.0,45.0,76.0,61.0,79.0,50.0,75.0,74.0,54.0,64.0,92.0,47.0,67.0,51.0,80.0,79.0,52.0,32.0,23.0,46.0,35.0,56.0,23.0
Djibril Sidibé,78,182,71,29,0,1,76.0,75.0,74.0,74.0,76.0,76.0,78.0,73.0,75.0,69.0,75.0,78.0,76.0,73.0,71.0,86.0,76.0,69.0,76.0,70.0,81.0,69.0,69.0,60.0,68.0,78.0,70.0,43.0,42.0
Vitolo,78,185,79,32,0,2,78.0,80.0,68.0,23.0,21.0,61.0,78.0,78.0,25.0,77.0,74.0,75.0,76.0,77.0,73.0,73.0,76.0,60.0,78.0,71.0,69.0,65.0,77.0,77.0,75.0,78.0,62.0,74.0,75.0
Dennis Praet,78,181,78,27,0,3,80.0,81.0,58.0,60.0,67.0,66.0,77.0,77.0,64.0,79.0,79.0,74.0,82.0,78.0,68.0,74.0,62.0,67.0,67.0,74.0,61.0,62.0,76.0,70.0,78.0,75.0,67.0,56.0,70.0
Oriol Romeu,78,183,83,30,0,2,70.0,63.0,80.0,78.0,82.0,89.0,72.0,48.0,81.0,56.0,74.0,37.0,78.0,72.0,50.0,74.0,82.0,59.0,34.0,54.0,65.0,69.0,75.0,25.0,48.0,49.0,53.0,54.0,52.0
Domagoj Vida,78,184,76,32,0,1,62.0,53.0,83.0,80.0,77.0,82.0,72.0,43.0,79.0,50.0,78.0,65.0,62.0,60.0,70.0,82.0,80.0,63.0,76.0,64.0,87.0,79.0,54.0,41.0,22.0,44.0,35.0,51.0,36.0
